"","celltype_gt","celltype","model"
"27404","B","T","singleR"
"27405","Malignant","Malignant","singleR"
"27406","Malignant","Malignant","singleR"
"27407","T","T","singleR"
"27408","Malignant","Malignant","singleR"
"27409","T","T","singleR"
"27410","Malignant","Malignant","singleR"
"27411","Myoepi","Myoepi","singleR"
"27412","DC_Mast","T","singleR"
"27413","Stromal","Macrophage","singleR"
"27414","Stromal","Stromal","singleR"
"27415","Stromal","T","singleR"
"27416","Myoepi","Myoepi","singleR"
"27417","Macrophage","Stromal","singleR"
"27418","Malignant","Malignant","singleR"
"27419","Malignant","Malignant","singleR"
"27420","Myoepi","Myoepi","singleR"
"27421","Malignant","Malignant","singleR"
"27422","Malignant","Malignant","singleR"
"27423","T","Macrophage","singleR"
"27424","Macrophage","Macrophage","singleR"
"27425","T","T","singleR"
"27426","T","Macrophage","singleR"
"27427","Malignant","Malignant","singleR"
"27428","T","T","singleR"
"27429","Malignant","Malignant","singleR"
"27430","T","T","singleR"
"27431","Stromal","Malignant","singleR"
"27432","T","Stromal","singleR"
"27433","Stromal","Macrophage","singleR"
"27434","Macrophage","Stromal","singleR"
"27435","Malignant","Malignant","singleR"
"27436","Malignant","Malignant","singleR"
"27437","Stromal","Macrophage","singleR"
"27438","Stromal","Myoepi","singleR"
"27439","Macrophage","T","singleR"
"27440","T","T","singleR"
"27441","Malignant","Malignant","singleR"
"27442","Stromal","Malignant","singleR"
"27443","Malignant","Malignant","singleR"
"27444","T","T","singleR"
"27445","T","T","singleR"
"27446","Stromal","Stromal","singleR"
"27447","Stromal","Malignant","singleR"
"27448","Macrophage","Plasma","singleR"
"27449","Stromal","Stromal","singleR"
"27450","B","T","singleR"
"27451","T","T","singleR"
"27452","Malignant","Malignant","singleR"
"27453","Stromal","Stromal","singleR"
"27454","Plasma","Plasma","singleR"
"27455","Malignant","Malignant","singleR"
"27456","Malignant","Malignant","singleR"
"27457","T","T","singleR"
"27458","T","T","singleR"
"27459","Malignant","Malignant","singleR"
"27460","T","T","singleR"
"27461","Myoepi","Myoepi","singleR"
"27462","DC_Mast","DC_Mast","singleR"
"27463","Malignant","Malignant","singleR"
"27464","Stromal","Macrophage","singleR"
"27465","T","DC_Mast","singleR"
"27466","Stromal","Malignant","singleR"
"27467","T","DC_Mast","singleR"
"27468","T","T","singleR"
"27469","Stromal","Myoepi","singleR"
"27470","Myoepi","Myoepi","singleR"
"27471","T","T","singleR"
"27472","Malignant","Malignant","singleR"
"27473","Stromal","Stromal","singleR"
"27474","T","T","singleR"
"27475","T","T","singleR"
"27476","Malignant","Malignant","singleR"
"27477","Stromal","Stromal","singleR"
"27478","Stromal","Macrophage","singleR"
"27479","Plasma","Plasma","singleR"
"27480","T","T","singleR"
"27481","Malignant","Malignant","singleR"
"27482","Macrophage","Macrophage","singleR"
"27483","Stromal","Stromal","singleR"
"27484","Malignant","Stromal","singleR"
"27485","Plasma","DC_Mast","singleR"
"27486","T","T","singleR"
"27487","Stromal","Malignant","singleR"
"27488","Myoepi","Myoepi","singleR"
"27489","T","T","singleR"
"27490","Malignant","Malignant","singleR"
"27491","Stromal","Stromal","singleR"
"27492","Macrophage","Stromal","singleR"
"27493","Malignant","Malignant","singleR"
"27494","Malignant","Malignant","singleR"
"27495","Malignant","Stromal","singleR"
"27496","Myoepi","Myoepi","singleR"
"27497","Stromal","Stromal","singleR"
"27498","Stromal","Malignant","singleR"
"27499","Stromal","Stromal","singleR"
"27500","Malignant","Stromal","singleR"
"27501","Malignant","Malignant","singleR"
"27502","T","Stromal","singleR"
"27503","Stromal","Stromal","singleR"
"27504","Malignant","Malignant","singleR"
"27505","Macrophage","Malignant","singleR"
"27506","Stromal","Stromal","singleR"
"27507","Stromal","Stromal","singleR"
"27508","T","T","singleR"
"27509","T","DC_Mast","singleR"
"27510","T","T","singleR"
"27511","Stromal","Stromal","singleR"
"27512","Macrophage","Myoepi","singleR"
"27513","Malignant","Malignant","singleR"
"27514","T","T","singleR"
"27515","Malignant","Malignant","singleR"
"27516","T","T","singleR"
"27517","T","T","singleR"
"27518","Malignant","Malignant","singleR"
"27519","Malignant","Malignant","singleR"
"27520","Malignant","Malignant","singleR"
"27521","T","T","singleR"
"27522","T","T","singleR"
"27523","T","T","singleR"
"27524","Macrophage","T","singleR"
"27525","Malignant","Malignant","singleR"
"27526","Malignant","Malignant","singleR"
"27527","T","Stromal","singleR"
"27528","Stromal","Malignant","singleR"
"27529","T","T","singleR"
"27530","Malignant","Malignant","singleR"
"27531","B","T","singleR"
"27532","Stromal","Malignant","singleR"
"27533","Macrophage","Macrophage","singleR"
"27534","Malignant","Malignant","singleR"
"27535","Malignant","Malignant","singleR"
"27536","Malignant","Myoepi","singleR"
"27537","Plasma","T","singleR"
"27538","Malignant","Stromal","singleR"
"27539","Myoepi","Myoepi","singleR"
"27540","T","T","singleR"
"27541","Stromal","Stromal","singleR"
"27542","T","T","singleR"
"27543","Malignant","Malignant","singleR"
"27544","Malignant","Malignant","singleR"
"27545","Malignant","Malignant","singleR"
"27546","T","T","singleR"
"27547","Myoepi","Myoepi","singleR"
"27548","Malignant","Malignant","singleR"
"27549","Malignant","Malignant","singleR"
"27550","Malignant","Malignant","singleR"
"27551","Stromal","Stromal","singleR"
"27552","Stromal","Malignant","singleR"
"27553","T","T","singleR"
"27554","Stromal","Stromal","singleR"
"27555","Stromal","Stromal","singleR"
"27556","T","T","singleR"
"27557","T","T","singleR"
"27558","DC_Mast","T","singleR"
"27559","Stromal","Stromal","singleR"
"27560","T","T","singleR"
"27561","T","T","singleR"
"27562","Macrophage","Macrophage","singleR"
"27563","T","Macrophage","singleR"
"27564","B","T","singleR"
"27565","T","T","singleR"
"27566","Myoepi","Myoepi","singleR"
"27567","T","T","singleR"
"27568","T","Macrophage","singleR"
"27569","Stromal","Stromal","singleR"
"27570","T","T","singleR"
"27571","Malignant","Malignant","singleR"
"27572","Stromal","Myoepi","singleR"
"27573","Stromal","Stromal","singleR"
"27574","Stromal","Stromal","singleR"
"27575","Malignant","Myoepi","singleR"
"27576","Stromal","Stromal","singleR"
"27577","T","T","singleR"
"27578","T","T","singleR"
"27579","T","Macrophage","singleR"
"27580","B","T","singleR"
"27581","T","T","singleR"
"27582","T","T","singleR"
"27583","Stromal","Stromal","singleR"
"27584","Stromal","Stromal","singleR"
"27585","Stromal","Malignant","singleR"
"27586","Malignant","Malignant","singleR"
"27587","T","T","singleR"
"27588","Malignant","Malignant","singleR"
"27589","Malignant","Malignant","singleR"
"27590","B","DC_Mast","singleR"
"27591","T","T","singleR"
"27592","Malignant","Malignant","singleR"
"27593","Myoepi","Myoepi","singleR"
"27594","Macrophage","T","singleR"
"27595","Malignant","Malignant","singleR"
"27596","Stromal","DC_Mast","singleR"
"27597","Plasma","Plasma","singleR"
"27598","Stromal","Stromal","singleR"
"27599","Malignant","Malignant","singleR"
"27600","Malignant","Malignant","singleR"
"27601","Macrophage","Stromal","singleR"
"27602","Malignant","Malignant","singleR"
"27603","Malignant","Stromal","singleR"
"27604","Stromal","Macrophage","singleR"
"27605","T","T","singleR"
"27606","Stromal","Stromal","singleR"
"27607","Malignant","Malignant","singleR"
"27608","DC_Mast","T","singleR"
"27609","Macrophage","Macrophage","singleR"
"27610","T","DC_Mast","singleR"
"27611","T","DC_Mast","singleR"
"27612","Malignant","Malignant","singleR"
"27613","Malignant","Stromal","singleR"
"27614","Malignant","Malignant","singleR"
"27615","Stromal","Stromal","singleR"
"27616","Malignant","Malignant","singleR"
"27617","Stromal","Stromal","singleR"
"27618","T","T","singleR"
"27619","T","T","singleR"
"27620","Stromal","Stromal","singleR"
"27621","T","T","singleR"
"27622","Malignant","Malignant","singleR"
"27623","Malignant","Malignant","singleR"
"27624","Stromal","Macrophage","singleR"
"27625","Malignant","Malignant","singleR"
"27626","Macrophage","Macrophage","singleR"
"27627","Stromal","Stromal","singleR"
"27628","Malignant","Malignant","singleR"
"27629","Malignant","Malignant","singleR"
"27630","Macrophage","Malignant","singleR"
"27631","Malignant","Malignant","singleR"
"27632","Stromal","Stromal","singleR"
"27633","Malignant","Malignant","singleR"
"27634","Stromal","Stromal","singleR"
"27635","Stromal","Malignant","singleR"
"27636","Malignant","Malignant","singleR"
"27637","Macrophage","Malignant","singleR"
"27638","Macrophage","Stromal","singleR"
"27639","Malignant","Malignant","singleR"
"27640","DC_Mast","T","singleR"
"27641","Malignant","Malignant","singleR"
"27642","T","T","singleR"
"27643","Macrophage","Macrophage","singleR"
"27644","T","Plasma","singleR"
"27645","Stromal","Stromal","singleR"
"27646","Macrophage","Macrophage","singleR"
"27647","Malignant","Malignant","singleR"
"27648","Malignant","Malignant","singleR"
"27649","Stromal","Stromal","singleR"
"27650","Stromal","Stromal","singleR"
"27651","T","T","singleR"
"27652","Stromal","Stromal","singleR"
"27653","Macrophage","Macrophage","singleR"
"27654","T","Macrophage","singleR"
"27655","Malignant","Malignant","singleR"
"27656","T","Macrophage","singleR"
"27657","Malignant","Malignant","singleR"
"27658","DC_Mast","T","singleR"
"27659","Stromal","DC_Mast","singleR"
"27660","Stromal","Stromal","singleR"
"27661","DC_Mast","Macrophage","singleR"
"27662","T","T","singleR"
"27663","Stromal","Stromal","singleR"
"27664","Malignant","Malignant","singleR"
"27665","Malignant","Malignant","singleR"
"27666","Stromal","Stromal","singleR"
"27667","T","T","singleR"
"27668","T","DC_Mast","singleR"
"27669","Malignant","Malignant","singleR"
"27670","Stromal","Stromal","singleR"
"27671","Malignant","Malignant","singleR"
"27672","Stromal","Stromal","singleR"
"27673","Malignant","Malignant","singleR"
"27674","T","T","singleR"
"27675","Stromal","Stromal","singleR"
"27676","T","T","singleR"
"27677","Malignant","Malignant","singleR"
"27678","T","T","singleR"
"27679","T","T","singleR"
"27680","T","T","singleR"
"27681","Stromal","Stromal","singleR"
"27682","Malignant","Malignant","singleR"
"27683","T","T","singleR"
"27684","Stromal","Stromal","singleR"
"27685","T","T","singleR"
"27686","Malignant","Stromal","singleR"
"27687","Macrophage","Stromal","singleR"
"27688","Myoepi","Myoepi","singleR"
"27689","T","T","singleR"
"27690","T","T","singleR"
"27691","T","T","singleR"
"27692","T","Myoepi","singleR"
"27693","Malignant","Malignant","singleR"
"27694","Stromal","Malignant","singleR"
"27695","Stromal","Malignant","singleR"
"27696","Malignant","Malignant","singleR"
"27697","Malignant","Malignant","singleR"
"27698","Stromal","Myoepi","singleR"
"27699","B","T","singleR"
"27700","Malignant","Malignant","singleR"
"27701","Stromal","T","singleR"
"27702","T","T","singleR"
"27703","Malignant","Malignant","singleR"
"27704","Stromal","Stromal","singleR"
"27705","Malignant","Malignant","singleR"
"27706","Malignant","Malignant","singleR"
"27707","Malignant","Malignant","singleR"
"27708","Stromal","Stromal","singleR"
"27709","T","T","singleR"
"27710","Plasma","T","singleR"
"27711","Macrophage","DC_Mast","singleR"
"27712","Stromal","Stromal","singleR"
"27713","Macrophage","Stromal","singleR"
"27714","Stromal","Stromal","singleR"
"27715","Malignant","Malignant","singleR"
"27716","Stromal","Stromal","singleR"
"27717","T","T","singleR"
"27718","Malignant","Malignant","singleR"
"27719","Myoepi","Myoepi","singleR"
"27720","Stromal","Stromal","singleR"
"27721","Stromal","Macrophage","singleR"
"27722","Malignant","Malignant","singleR"
"27723","Malignant","Malignant","singleR"
"27724","Malignant","Myoepi","singleR"
"27725","Stromal","T","singleR"
"27726","Stromal","Stromal","singleR"
"27727","T","T","singleR"
"27728","Macrophage","T","singleR"
"27729","Stromal","Stromal","singleR"
"27730","Macrophage","DC_Mast","singleR"
"27731","Malignant","Malignant","singleR"
"27732","Stromal","Stromal","singleR"
"27733","Malignant","Malignant","singleR"
"27734","Malignant","Malignant","singleR"
"27735","Stromal","Macrophage","singleR"
"27736","Plasma","Macrophage","singleR"
"27737","Malignant","Malignant","singleR"
"27738","Stromal","Stromal","singleR"
"27739","Macrophage","Macrophage","singleR"
"27740","T","T","singleR"
"27741","T","T","singleR"
"27742","Stromal","Stromal","singleR"
"27743","Macrophage","Macrophage","singleR"
"27744","Malignant","Malignant","singleR"
"27745","Myoepi","Myoepi","singleR"
"27746","Stromal","Stromal","singleR"
"27747","Malignant","Stromal","singleR"
"27748","DC_Mast","T","singleR"
"27749","Plasma","Macrophage","singleR"
"27750","Macrophage","Macrophage","singleR"
"27751","Stromal","Stromal","singleR"
"27752","T","T","singleR"
"27753","Malignant","Malignant","singleR"
"27754","Macrophage","Macrophage","singleR"
"27755","Stromal","T","singleR"
"27756","Stromal","Myoepi","singleR"
"27757","Stromal","Macrophage","singleR"
"27758","Malignant","Malignant","singleR"
"27759","Macrophage","Macrophage","singleR"
"27760","Plasma","Plasma","singleR"
"27761","T","T","singleR"
"27762","Malignant","Malignant","singleR"
"27763","T","T","singleR"
"27764","Macrophage","Macrophage","singleR"
"27765","Macrophage","T","singleR"
"27766","T","T","singleR"
"27767","Malignant","Malignant","singleR"
"27768","Malignant","Malignant","singleR"
"27769","T","Macrophage","singleR"
"27770","Stromal","Macrophage","singleR"
"27771","Malignant","Malignant","singleR"
"27772","Plasma","Plasma","singleR"
"27773","Plasma","Plasma","singleR"
"27774","T","T","singleR"
"27775","Malignant","Malignant","singleR"
"27776","Malignant","Malignant","singleR"
"27777","Macrophage","Macrophage","singleR"
"27778","Malignant","Malignant","singleR"
"27779","Stromal","Macrophage","singleR"
"27780","T","T","singleR"
"27781","Malignant","Malignant","singleR"
"27782","Stromal","Stromal","singleR"
"27783","Stromal","Stromal","singleR"
"27784","Macrophage","Macrophage","singleR"
"27785","T","T","singleR"
"27786","T","T","singleR"
"27787","Stromal","Stromal","singleR"
"27788","Malignant","Malignant","singleR"
"27789","Macrophage","Macrophage","singleR"
"27790","Malignant","Malignant","singleR"
"27791","Macrophage","Stromal","singleR"
"27792","Stromal","Macrophage","singleR"
"27793","Malignant","Malignant","singleR"
"27794","Stromal","Stromal","singleR"
"27795","Malignant","Malignant","singleR"
"27796","Malignant","Malignant","singleR"
"27797","T","T","singleR"
"27798","Stromal","Macrophage","singleR"
"27799","Malignant","Malignant","singleR"
"27800","T","T","singleR"
"27801","Malignant","Malignant","singleR"
"27802","Plasma","DC_Mast","singleR"
"27803","Myoepi","Myoepi","singleR"
"27804","Stromal","Stromal","singleR"
"27805","T","T","singleR"
"27806","Malignant","Malignant","singleR"
"27807","Malignant","Malignant","singleR"
"27808","B","T","singleR"
"27809","T","Stromal","singleR"
"27810","Macrophage","T","singleR"
"27811","T","T","singleR"
"27812","T","T","singleR"
"27813","Malignant","Malignant","singleR"
"27814","T","T","singleR"
"27815","Malignant","Malignant","singleR"
"27816","T","T","singleR"
"27817","T","T","singleR"
"27818","Macrophage","Malignant","singleR"
"27819","Malignant","Malignant","singleR"
"27820","Macrophage","Stromal","singleR"
"27821","Macrophage","Macrophage","singleR"
"27822","Stromal","Stromal","singleR"
"27823","T","T","singleR"
"27824","T","T","singleR"
"27825","Malignant","Malignant","singleR"
"27826","Myoepi","Myoepi","singleR"
"27827","Myoepi","Myoepi","singleR"
"27828","T","T","singleR"
"27829","Stromal","Stromal","singleR"
"27830","Macrophage","Macrophage","singleR"
"27831","Malignant","Malignant","singleR"
"27832","Malignant","Malignant","singleR"
"27833","Macrophage","Malignant","singleR"
"27834","T","Macrophage","singleR"
"27835","Myoepi","Malignant","singleR"
"27836","Stromal","Stromal","singleR"
"27837","Macrophage","Stromal","singleR"
"27838","T","T","singleR"
"27839","Malignant","Malignant","singleR"
"27840","Stromal","Stromal","singleR"
"27841","Macrophage","Macrophage","singleR"
"27842","Stromal","DC_Mast","singleR"
"27843","T","Macrophage","singleR"
"27844","Macrophage","T","singleR"
"27845","Malignant","Malignant","singleR"
"27846","Macrophage","T","singleR"
"27847","T","T","singleR"
"27848","Stromal","Stromal","singleR"
"27849","Malignant","Malignant","singleR"
"27850","Stromal","Stromal","singleR"
"27851","Stromal","Stromal","singleR"
"27852","Malignant","Malignant","singleR"
"27853","T","DC_Mast","singleR"
"27854","T","Plasma","singleR"
"27855","Malignant","Malignant","singleR"
"27856","Malignant","Macrophage","singleR"
"27857","Malignant","Malignant","singleR"
"27858","Myoepi","Myoepi","singleR"
"27859","Plasma","Plasma","singleR"
"27860","Malignant","Malignant","singleR"
"27861","Stromal","Stromal","singleR"
"27862","Malignant","Malignant","singleR"
"27863","Macrophage","Macrophage","singleR"
"27864","T","T","singleR"
"27865","Macrophage","Macrophage","singleR"
"27866","Stromal","Macrophage","singleR"
"27867","Malignant","Malignant","singleR"
"27868","DC_Mast","Macrophage","singleR"
"27869","Stromal","Macrophage","singleR"
"27870","DC_Mast","Macrophage","singleR"
"27871","B","T","singleR"
"27872","Malignant","Malignant","singleR"
"27873","Plasma","Stromal","singleR"
"27874","Stromal","Stromal","singleR"
"27875","T","Macrophage","singleR"
"27876","Myoepi","Myoepi","singleR"
"27877","Stromal","Stromal","singleR"
"27878","Stromal","Myoepi","singleR"
"27879","T","T","singleR"
"27880","Stromal","Stromal","singleR"
"27881","Malignant","Malignant","singleR"
"27882","Stromal","Stromal","singleR"
"27883","T","T","singleR"
"27884","B","DC_Mast","singleR"
"27885","Malignant","Malignant","singleR"
"27886","Malignant","Malignant","singleR"
"27887","Malignant","Malignant","singleR"
"27888","Plasma","Stromal","singleR"
"27889","Malignant","Malignant","singleR"
"27890","T","DC_Mast","singleR"
"27891","Malignant","Malignant","singleR"
"27892","Malignant","Malignant","singleR"
"27893","Malignant","Malignant","singleR"
"27894","DC_Mast","Macrophage","singleR"
"27895","Macrophage","T","singleR"
"27896","DC_Mast","DC_Mast","singleR"
"27897","Malignant","Malignant","singleR"
"27898","Malignant","Malignant","singleR"
"27899","Malignant","Malignant","singleR"
"27900","Stromal","Stromal","singleR"
"27901","Malignant","Malignant","singleR"
"27902","Stromal","Malignant","singleR"
"27903","Myoepi","Myoepi","singleR"
"27904","T","T","singleR"
"27905","Stromal","Macrophage","singleR"
"27906","T","T","singleR"
"27907","T","T","singleR"
"27908","T","T","singleR"
"27909","Macrophage","Stromal","singleR"
"27910","Malignant","Malignant","singleR"
"27911","Malignant","Malignant","singleR"
"27912","Stromal","Stromal","singleR"
"27913","Macrophage","Stromal","singleR"
"27914","T","Macrophage","singleR"
"27915","Stromal","Stromal","singleR"
"27916","Myoepi","Myoepi","singleR"
"27917","T","T","singleR"
"27918","Stromal","Stromal","singleR"
"27919","T","DC_Mast","singleR"
"27920","Stromal","Stromal","singleR"
"27921","DC_Mast","Stromal","singleR"
"27922","T","T","singleR"
"27923","T","Stromal","singleR"
"27924","Stromal","Myoepi","singleR"
"27925","Malignant","Malignant","singleR"
"27926","T","T","singleR"
"27927","T","T","singleR"
"27928","Myoepi","Myoepi","singleR"
"27929","Macrophage","Stromal","singleR"
"27930","Macrophage","Stromal","singleR"
"27931","Macrophage","Macrophage","singleR"
"27932","T","T","singleR"
"27933","T","T","singleR"
"27934","Macrophage","Myoepi","singleR"
"27935","Macrophage","Macrophage","singleR"
"27936","Macrophage","Macrophage","singleR"
"27937","Malignant","Malignant","singleR"
"27938","T","T","singleR"
"27939","B","Plasma","singleR"
"27940","Stromal","Stromal","singleR"
"27941","Stromal","Stromal","singleR"
"27942","T","T","singleR"
"27943","Stromal","Stromal","singleR"
"27944","Stromal","Stromal","singleR"
"27945","Stromal","Stromal","singleR"
"27946","Malignant","Malignant","singleR"
"27947","Stromal","Stromal","singleR"
"27948","T","DC_Mast","singleR"
"27949","Stromal","Stromal","singleR"
"27950","Stromal","Stromal","singleR"
"27951","T","T","singleR"
"27952","T","T","singleR"
"27953","Malignant","Malignant","singleR"
"27954","Malignant","Malignant","singleR"
"27955","Stromal","Stromal","singleR"
"27956","T","Macrophage","singleR"
"27957","Malignant","Malignant","singleR"
"27958","Macrophage","Malignant","singleR"
"27959","Macrophage","Stromal","singleR"
"27960","Malignant","Malignant","singleR"
"27961","T","T","singleR"
"27962","T","T","singleR"
"27963","Stromal","Stromal","singleR"
"27964","Myoepi","Myoepi","singleR"
"27965","Macrophage","Macrophage","singleR"
"27966","T","T","singleR"
"27967","DC_Mast","Stromal","singleR"
"27968","T","T","singleR"
"27969","Stromal","Stromal","singleR"
"27970","T","DC_Mast","singleR"
"27971","Myoepi","Myoepi","singleR"
"27972","Plasma","DC_Mast","singleR"
"27973","Macrophage","Malignant","singleR"
"27974","Stromal","Stromal","singleR"
"27975","Stromal","Stromal","singleR"
"27976","Malignant","Malignant","singleR"
"27977","Stromal","Stromal","singleR"
"27978","T","T","singleR"
"27979","Plasma","DC_Mast","singleR"
"27980","Myoepi","Myoepi","singleR"
"27981","Stromal","Stromal","singleR"
"27982","Stromal","Stromal","singleR"
"27983","Stromal","T","singleR"
"27984","T","T","singleR"
"27985","Malignant","Malignant","singleR"
"27986","Stromal","Myoepi","singleR"
"27987","Malignant","Malignant","singleR"
"27988","Malignant","Malignant","singleR"
"27989","Plasma","Malignant","singleR"
"27990","DC_Mast","T","singleR"
"27991","Malignant","Malignant","singleR"
"27992","Malignant","Malignant","singleR"
"27993","Malignant","Malignant","singleR"
"27994","Malignant","Malignant","singleR"
"27995","Malignant","Malignant","singleR"
"27996","Stromal","Malignant","singleR"
"27997","Malignant","Malignant","singleR"
"27998","T","T","singleR"
"27999","Malignant","Malignant","singleR"
"28000","Stromal","Stromal","singleR"
"28001","Malignant","Malignant","singleR"
"28002","Malignant","Myoepi","singleR"
"28003","Malignant","Malignant","singleR"
"28004","T","DC_Mast","singleR"
"28005","Stromal","Stromal","singleR"
"28006","Macrophage","Stromal","singleR"
"28007","B","DC_Mast","singleR"
"28008","Malignant","Malignant","singleR"
"28009","Malignant","Malignant","singleR"
"28010","T","T","singleR"
"28011","T","T","singleR"
"28012","Macrophage","Macrophage","singleR"
"28013","Myoepi","Myoepi","singleR"
"28014","Stromal","Stromal","singleR"
"28015","T","T","singleR"
"28016","Malignant","Malignant","singleR"
"28017","Malignant","Malignant","singleR"
"28018","Malignant","Malignant","singleR"
"28019","Stromal","Stromal","singleR"
"28020","T","T","singleR"
"28021","Myoepi","Myoepi","singleR"
"28022","Malignant","Malignant","singleR"
"28023","Malignant","Malignant","singleR"
"28024","Macrophage","Macrophage","singleR"
"28025","DC_Mast","Macrophage","singleR"
"28026","Stromal","Stromal","singleR"
"28027","Malignant","Malignant","singleR"
"28028","Stromal","Stromal","singleR"
"28029","Malignant","Malignant","singleR"
"28030","Stromal","Stromal","singleR"
"28031","DC_Mast","Macrophage","singleR"
"28032","T","T","singleR"
"28033","Myoepi","Myoepi","singleR"
"28034","T","T","singleR"
"28035","T","T","singleR"
"28036","Malignant","Malignant","singleR"
"28037","Malignant","Malignant","singleR"
"28038","Stromal","Malignant","singleR"
"28039","Malignant","Malignant","singleR"
"28040","Stromal","T","singleR"
"28041","T","T","singleR"
"28042","T","T","singleR"
"28043","T","Malignant","singleR"
"28044","Malignant","Malignant","singleR"
"28045","Malignant","Malignant","singleR"
"28046","Stromal","Stromal","singleR"
"28047","Malignant","Malignant","singleR"
"28048","Macrophage","Macrophage","singleR"
"28049","Macrophage","Myoepi","singleR"
"28050","Malignant","Malignant","singleR"
"28051","B","T","singleR"
"28052","Macrophage","Stromal","singleR"
"28053","T","T","singleR"
"28054","Myoepi","Myoepi","singleR"
"28055","T","T","singleR"
"28056","Plasma","Macrophage","singleR"
"28057","Stromal","Stromal","singleR"
"28058","Macrophage","T","singleR"
"28059","Macrophage","Macrophage","singleR"
"28060","Stromal","Stromal","singleR"
"28061","Macrophage","DC_Mast","singleR"
"28062","T","T","singleR"
"28063","Stromal","Macrophage","singleR"
"28064","Myoepi","Myoepi","singleR"
"28065","T","T","singleR"
"28066","Stromal","Stromal","singleR"
"28067","Macrophage","Stromal","singleR"
"28068","B","T","singleR"
"28069","Stromal","Stromal","singleR"
"28070","Malignant","Malignant","singleR"
"28071","Stromal","Stromal","singleR"
"28072","Malignant","Malignant","singleR"
"28073","Stromal","Stromal","singleR"
"28074","Malignant","Malignant","singleR"
"28075","Macrophage","Macrophage","singleR"
"28076","Plasma","Plasma","singleR"
"28077","Myoepi","Myoepi","singleR"
"28078","Stromal","DC_Mast","singleR"
"28079","Macrophage","Macrophage","singleR"
"28080","Malignant","Malignant","singleR"
"28081","Stromal","Stromal","singleR"
"28082","Malignant","Malignant","singleR"
"28083","T","DC_Mast","singleR"
"28084","Stromal","Malignant","singleR"
"28085","Myoepi","Myoepi","singleR"
"28086","Stromal","Macrophage","singleR"
"28087","Macrophage","Stromal","singleR"
"28088","Malignant","Malignant","singleR"
"28089","T","T","singleR"
"28090","Stromal","Stromal","singleR"
"28091","Malignant","Malignant","singleR"
"28092","T","T","singleR"
"28093","Macrophage","Macrophage","singleR"
"28094","Stromal","Stromal","singleR"
"28095","Macrophage","T","singleR"
"28096","Malignant","Malignant","singleR"
"28097","Malignant","Malignant","singleR"
"28098","Stromal","Stromal","singleR"
"28099","Macrophage","Stromal","singleR"
"28100","Stromal","Stromal","singleR"
"28101","Macrophage","Malignant","singleR"
"28102","Plasma","Plasma","singleR"
"28103","T","T","singleR"
"28104","Malignant","Macrophage","singleR"
"28105","T","T","singleR"
"28106","Stromal","Stromal","singleR"
"28107","T","T","singleR"
"28108","T","T","singleR"
"28109","Malignant","Malignant","singleR"
"28110","Stromal","Stromal","singleR"
"28111","T","T","singleR"
"28112","Malignant","Myoepi","singleR"
"28113","Stromal","Stromal","singleR"
"28114","Malignant","Malignant","singleR"
"28115","Macrophage","Macrophage","singleR"
"28116","T","T","singleR"
"28117","T","T","singleR"
"28118","Plasma","DC_Mast","singleR"
"28119","Stromal","Malignant","singleR"
"28120","Stromal","Stromal","singleR"
"28121","Macrophage","Malignant","singleR"
"28122","Stromal","Stromal","singleR"
"28123","Malignant","Malignant","singleR"
"28124","Stromal","Stromal","singleR"
"28125","T","Myoepi","singleR"
"28126","Stromal","Stromal","singleR"
"28127","Stromal","Malignant","singleR"
"28128","Macrophage","Macrophage","singleR"
"28129","Plasma","T","singleR"
"28130","Macrophage","Macrophage","singleR"
"28131","Myoepi","Myoepi","singleR"
"28132","Malignant","Malignant","singleR"
"28133","Macrophage","T","singleR"
"28134","Stromal","Stromal","singleR"
"28135","Myoepi","Myoepi","singleR"
"28136","Malignant","Malignant","singleR"
"28137","Malignant","Malignant","singleR"
"28138","Macrophage","Macrophage","singleR"
"28139","Malignant","Malignant","singleR"
"28140","Malignant","Malignant","singleR"
"28141","Myoepi","Malignant","singleR"
"28142","Malignant","Malignant","singleR"
"28143","Myoepi","Malignant","singleR"
"28144","T","T","singleR"
"28145","Stromal","Malignant","singleR"
"28146","T","T","singleR"
"28147","Malignant","Malignant","singleR"
"28148","Malignant","Malignant","singleR"
"28149","T","Stromal","singleR"
"28150","Stromal","Stromal","singleR"
"28151","Malignant","Malignant","singleR"
"28152","Stromal","Stromal","singleR"
"28153","Stromal","Stromal","singleR"
"28154","Malignant","Malignant","singleR"
"28155","Malignant","Malignant","singleR"
"28156","T","Macrophage","singleR"
"28157","T","T","singleR"
"28158","T","T","singleR"
"28159","Malignant","Malignant","singleR"
"28160","Malignant","Malignant","singleR"
"28161","Malignant","Malignant","singleR"
"28162","Stromal","Plasma","singleR"
"28163","Malignant","Malignant","singleR"
"28164","T","T","singleR"
"28165","T","T","singleR"
"28166","Stromal","Stromal","singleR"
"28167","Stromal","Stromal","singleR"
"28168","Malignant","Malignant","singleR"
"28169","Macrophage","Macrophage","singleR"
"28170","Malignant","Malignant","singleR"
"28171","Macrophage","Macrophage","singleR"
"28172","Malignant","Malignant","singleR"
"28173","Stromal","Stromal","singleR"
"28174","Malignant","Malignant","singleR"
"28175","Malignant","Malignant","singleR"
"28176","Stromal","Stromal","singleR"
"28177","Myoepi","Myoepi","singleR"
"28178","Stromal","Stromal","singleR"
"28179","Malignant","Malignant","singleR"
