"","celltype_gt","celltype","model"
"6826","Malignant","Malignant","sctype"
"6827","T","T","sctype"
"6828","B","T","sctype"
"6829","Malignant","Macrophage","sctype"
"6830","Plasma","B","sctype"
"6831","Malignant","Malignant","sctype"
"6832","Malignant","Malignant","sctype"
"6833","Stromal","Stromal","sctype"
"6834","T","T","sctype"
"6835","Malignant","Macrophage","sctype"
"6836","Malignant","Myoepi","sctype"
"6837","Malignant","Malignant","sctype"
"6838","Malignant","Malignant","sctype"
"6839","T","T","sctype"
"6840","Malignant","Malignant","sctype"
"6841","Plasma","Plasma","sctype"
"6842","Malignant","Malignant","sctype"
"6843","Plasma","Plasma","sctype"
"6844","Malignant","Malignant","sctype"
"6845","Stromal","Stromal","sctype"
"6846","Plasma","Plasma","sctype"
"6847","Malignant","Malignant","sctype"
"6848","T","Plasma","sctype"
"6849","B","T","sctype"
"6850","T","T","sctype"
"6851","B","T","sctype"
"6852","Stromal","Stromal","sctype"
"6853","Stromal","Stromal","sctype"
"6854","Myoepi","Malignant","sctype"
"6855","Malignant","Malignant","sctype"
"6856","B","B","sctype"
"6857","Malignant","Malignant","sctype"
"6858","T","T","sctype"
"6859","Malignant","Malignant","sctype"
"6860","Malignant","Stromal","sctype"
"6861","Stromal","Stromal","sctype"
"6862","Stromal","Stromal","sctype"
"6863","Macrophage","Stromal","sctype"
"6864","T","Macrophage","sctype"
"6865","B","T","sctype"
"6866","T","T","sctype"
"6867","Malignant","Malignant","sctype"
"6868","Malignant","Macrophage","sctype"
"6869","Malignant","Malignant","sctype"
"6870","T","Stromal","sctype"
"6871","Malignant","Malignant","sctype"
"6872","B","T","sctype"
"6873","Malignant","Malignant","sctype"
"6874","Malignant","Malignant","sctype"
"6875","Malignant","Malignant","sctype"
"6876","Stromal","Stromal","sctype"
"6877","Malignant","Malignant","sctype"
"6878","Stromal","Macrophage","sctype"
"6879","Malignant","Malignant","sctype"
"6880","Malignant","Malignant","sctype"
"6881","Stromal","Macrophage","sctype"
"6882","Malignant","T","sctype"
"6883","T","T","sctype"
"6884","T","Plasma","sctype"
"6885","Malignant","Macrophage","sctype"
"6886","Stromal","Malignant","sctype"
"6887","Malignant","Malignant","sctype"
"6888","Macrophage","Stromal","sctype"
"6889","Malignant","Malignant","sctype"
"6890","Malignant","Malignant","sctype"
"6891","Malignant","Malignant","sctype"
"6892","Malignant","Malignant","sctype"
"6893","Malignant","Malignant","sctype"
"6894","Malignant","Malignant","sctype"
"6895","T","T","sctype"
"6896","Malignant","Macrophage","sctype"
"6897","Malignant","Malignant","sctype"
"6898","Macrophage","Macrophage","sctype"
"6899","Stromal","Stromal","sctype"
"6900","Malignant","Malignant","sctype"
"6901","Malignant","Malignant","sctype"
"6902","Stromal","Malignant","sctype"
"6903","Malignant","Malignant","sctype"
"6904","Malignant","Malignant","sctype"
"6905","Stromal","Macrophage","sctype"
"6906","T","T","sctype"
"6907","Malignant","Malignant","sctype"
"6908","Stromal","Stromal","sctype"
"6909","Malignant","Malignant","sctype"
"6910","Plasma","Macrophage","sctype"
"6911","Malignant","Malignant","sctype"
"6912","T","T","sctype"
"6913","Stromal","Macrophage","sctype"
"6914","Malignant","Malignant","sctype"
"6915","Malignant","Malignant","sctype"
"6916","Stromal","Macrophage","sctype"
"6917","Malignant","Malignant","sctype"
"6918","Malignant","Malignant","sctype"
"6919","Plasma","Plasma","sctype"
"6920","T","Stromal","sctype"
"6921","Macrophage","Myoepi","sctype"
"6922","T","T","sctype"
"6923","T","T","sctype"
"6924","Malignant","Malignant","sctype"
"6925","Malignant","Malignant","sctype"
"6926","T","T","sctype"
"6927","Malignant","Myoepi","sctype"
"6928","Stromal","Myoepi","sctype"
"6929","Macrophage","Stromal","sctype"
"6930","Macrophage","Stromal","sctype"
"6931","Malignant","Myoepi","sctype"
"6932","T","T","sctype"
"6933","T","T","sctype"
"6934","Myoepi","Macrophage","sctype"
"6935","T","T","sctype"
"6936","Macrophage","Stromal","sctype"
"6937","Malignant","Malignant","sctype"
"6938","T","T","sctype"
"6939","Myoepi","Myoepi","sctype"
"6940","T","T","sctype"
"6941","T","T","sctype"
"6942","T","T","sctype"
"6943","Stromal","Stromal","sctype"
"6944","Malignant","Malignant","sctype"
"6945","Myoepi","Myoepi","sctype"
"6946","Stromal","Myoepi","sctype"
"6947","Stromal","Stromal","sctype"
"6948","T","Plasma","sctype"
"6949","T","T","sctype"
"6950","Malignant","Malignant","sctype"
"6951","Malignant","Macrophage","sctype"
"6952","Malignant","Malignant","sctype"
"6953","Malignant","Malignant","sctype"
"6954","Stromal","T","sctype"
"6955","Stromal","Stromal","sctype"
"6956","Malignant","Malignant","sctype"
"6957","Macrophage","Stromal","sctype"
"6958","Macrophage","Stromal","sctype"
"6959","Malignant","Malignant","sctype"
"6960","Malignant","Malignant","sctype"
"6961","T","T","sctype"
"6962","Malignant","Malignant","sctype"
"6963","Malignant","Malignant","sctype"
"6964","Malignant","Malignant","sctype"
"6965","Macrophage","Stromal","sctype"
"6966","Malignant","Malignant","sctype"
"6967","Stromal","Stromal","sctype"
"6968","Malignant","Malignant","sctype"
"6969","Malignant","Malignant","sctype"
"6970","B","T","sctype"
"6971","Malignant","Malignant","sctype"
"6972","Malignant","Malignant","sctype"
"6973","Malignant","Malignant","sctype"
"6974","Stromal","Macrophage","sctype"
"6975","Malignant","Malignant","sctype"
"6976","Stromal","T","sctype"
"6977","Malignant","Myoepi","sctype"
"6978","Malignant","Malignant","sctype"
"6979","Malignant","Malignant","sctype"
"6980","Malignant","T","sctype"
"6981","Stromal","Stromal","sctype"
"6982","Malignant","Myoepi","sctype"
"6983","Malignant","Malignant","sctype"
"6984","Malignant","Malignant","sctype"
"6985","Macrophage","Stromal","sctype"
"6986","Malignant","Macrophage","sctype"
"6987","Malignant","Malignant","sctype"
"6988","T","T","sctype"
"6989","Malignant","Malignant","sctype"
"6990","Stromal","Macrophage","sctype"
"6991","Stromal","Stromal","sctype"
"6992","Malignant","Malignant","sctype"
"6993","T","T","sctype"
"6994","Malignant","Macrophage","sctype"
"6995","Malignant","Malignant","sctype"
"6996","Stromal","Macrophage","sctype"
"6997","Malignant","Malignant","sctype"
"6998","Malignant","Macrophage","sctype"
"6999","T","T","sctype"
"7000","Macrophage","Macrophage","sctype"
"7001","Stromal","Stromal","sctype"
"7002","Plasma","T","sctype"
"7003","Myoepi","Malignant","sctype"
"7004","Malignant","Malignant","sctype"
"7005","Malignant","Malignant","sctype"
"7006","Malignant","Malignant","sctype"
"7007","Malignant","Malignant","sctype"
"7008","T","Stromal","sctype"
"7009","Malignant","Malignant","sctype"
"7010","Malignant","Malignant","sctype"
"7011","Malignant","Malignant","sctype"
"7012","Malignant","Malignant","sctype"
"7013","Stromal","Plasma","sctype"
"7014","Malignant","Malignant","sctype"
"7015","Malignant","Malignant","sctype"
"7016","Malignant","Malignant","sctype"
"7017","Malignant","Malignant","sctype"
"7018","Plasma","Plasma","sctype"
"7019","T","T","sctype"
"7020","B","Macrophage","sctype"
"7021","B","T","sctype"
"7022","Malignant","Malignant","sctype"
"7023","Stromal","Macrophage","sctype"
"7024","Malignant","T","sctype"
"7025","Stromal","Macrophage","sctype"
"7026","Stromal","T","sctype"
"7027","Malignant","Malignant","sctype"
"7028","Malignant","Macrophage","sctype"
"7029","Malignant","Malignant","sctype"
"7030","Malignant","T","sctype"
"7031","Stromal","Macrophage","sctype"
"7032","Myoepi","Myoepi","sctype"
"7033","Malignant","Macrophage","sctype"
"7034","Malignant","Malignant","sctype"
"7035","Malignant","Malignant","sctype"
"7036","Stromal","Stromal","sctype"
"7037","Stromal","Stromal","sctype"
"7038","Malignant","Malignant","sctype"
"7039","Malignant","Malignant","sctype"
"7040","Malignant","Malignant","sctype"
"7041","Malignant","Malignant","sctype"
"7042","Macrophage","Macrophage","sctype"
"7043","Stromal","Stromal","sctype"
"7044","Stromal","T","sctype"
"7045","Malignant","Malignant","sctype"
"7046","Malignant","Malignant","sctype"
"7047","Malignant","Malignant","sctype"
"7048","Malignant","Malignant","sctype"
"7049","Malignant","Malignant","sctype"
"7050","Malignant","Malignant","sctype"
"7051","Malignant","Malignant","sctype"
"7052","Malignant","Malignant","sctype"
"7053","Plasma","T","sctype"
"7054","T","Plasma","sctype"
"7055","Malignant","Malignant","sctype"
"7056","T","Plasma","sctype"
"7057","Stromal","Macrophage","sctype"
"7058","Malignant","Malignant","sctype"
"7059","Malignant","Macrophage","sctype"
"7060","Malignant","Malignant","sctype"
"7061","Malignant","Macrophage","sctype"
"7062","T","T","sctype"
"7063","B","T","sctype"
"7064","Malignant","Malignant","sctype"
"7065","Malignant","Malignant","sctype"
"7066","Malignant","Macrophage","sctype"
"7067","Stromal","Malignant","sctype"
"7068","Plasma","Plasma","sctype"
"7069","Malignant","Malignant","sctype"
"7070","Malignant","Malignant","sctype"
"7071","Stromal","Stromal","sctype"
"7072","Stromal","Stromal","sctype"
"7073","T","T","sctype"
"7074","Stromal","Stromal","sctype"
"7075","Malignant","Macrophage","sctype"
"7076","Malignant","Malignant","sctype"
"7077","Malignant","Macrophage","sctype"
"7078","Malignant","Stromal","sctype"
"7079","Malignant","Macrophage","sctype"
"7080","T","T","sctype"
"7081","Malignant","Macrophage","sctype"
"7082","T","T","sctype"
"7083","Macrophage","Macrophage","sctype"
"7084","Malignant","Malignant","sctype"
"7085","Malignant","Malignant","sctype"
"7086","Malignant","Malignant","sctype"
"7087","Malignant","T","sctype"
"7088","Macrophage","Macrophage","sctype"
"7089","Malignant","Malignant","sctype"
"7090","Malignant","Malignant","sctype"
"7091","Malignant","Malignant","sctype"
"7092","Malignant","Malignant","sctype"
"7093","Malignant","Malignant","sctype"
"7094","Malignant","Malignant","sctype"
"7095","Stromal","Macrophage","sctype"
"7096","T","B","sctype"
"7097","Stromal","Malignant","sctype"
"7098","Malignant","Malignant","sctype"
"7099","Malignant","Malignant","sctype"
"7100","T","T","sctype"
"7101","Malignant","Malignant","sctype"
"7102","Malignant","Malignant","sctype"
"7103","Macrophage","Plasma","sctype"
"7104","Malignant","Malignant","sctype"
"7105","T","Macrophage","sctype"
"7106","Malignant","Stromal","sctype"
"7107","Plasma","Plasma","sctype"
"7108","Malignant","Malignant","sctype"
"7109","Stromal","Stromal","sctype"
"7110","Malignant","Malignant","sctype"
"7111","Malignant","Malignant","sctype"
"7112","Macrophage","Macrophage","sctype"
"7113","T","T","sctype"
"7114","Stromal","Stromal","sctype"
"7115","Malignant","Malignant","sctype"
"7116","Malignant","Malignant","sctype"
"7117","T","T","sctype"
"7118","T","T","sctype"
"7119","T","B","sctype"
"7120","T","T","sctype"
"7121","Myoepi","T","sctype"
"7122","Stromal","Plasma","sctype"
"7123","Plasma","Plasma","sctype"
"7124","Stromal","T","sctype"
"7125","B","T","sctype"
"7126","T","T","sctype"
"7127","T","T","sctype"
"7128","Malignant","Malignant","sctype"
"7129","T","T","sctype"
"7130","T","T","sctype"
"7131","T","T","sctype"
"7132","T","T","sctype"
"7133","Malignant","Malignant","sctype"
"7134","Malignant","Malignant","sctype"
"7135","T","T","sctype"
"7136","Macrophage","Stromal","sctype"
"7137","Malignant","Malignant","sctype"
"7138","Malignant","Malignant","sctype"
"7139","T","T","sctype"
"7140","Malignant","Malignant","sctype"
"7141","Malignant","Malignant","sctype"
"7142","Plasma","Plasma","sctype"
"7143","Plasma","Plasma","sctype"
"7144","Stromal","Stromal","sctype"
"7145","Stromal","Stromal","sctype"
"7146","Macrophage","Stromal","sctype"
"7147","Malignant","Malignant","sctype"
"7148","Malignant","Malignant","sctype"
"7149","Malignant","Malignant","sctype"
"7150","Stromal","Stromal","sctype"
"7151","Malignant","Malignant","sctype"
"7152","Malignant","Malignant","sctype"
"7153","Malignant","Malignant","sctype"
"7154","Malignant","Macrophage","sctype"
"7155","T","T","sctype"
"7156","Malignant","Macrophage","sctype"
"7157","Stromal","Macrophage","sctype"
"7158","Macrophage","Macrophage","sctype"
"7159","Malignant","Malignant","sctype"
"7160","B","T","sctype"
"7161","Malignant","Malignant","sctype"
"7162","Malignant","Malignant","sctype"
"7163","Malignant","Malignant","sctype"
"7164","Plasma","Plasma","sctype"
"7165","Malignant","Malignant","sctype"
"7166","Macrophage","Stromal","sctype"
"7167","T","T","sctype"
"7168","Malignant","Malignant","sctype"
"7169","Stromal","Stromal","sctype"
"7170","Stromal","Stromal","sctype"
"7171","Malignant","Malignant","sctype"
"7172","Malignant","Malignant","sctype"
"7173","Malignant","Malignant","sctype"
"7174","Malignant","Malignant","sctype"
"7175","DC_Mast","Stromal","sctype"
"7176","Malignant","Malignant","sctype"
"7177","Malignant","Malignant","sctype"
"7178","T","T","sctype"
"7179","Malignant","Malignant","sctype"
"7180","Malignant","Malignant","sctype"
"7181","Malignant","Malignant","sctype"
"7182","Plasma","Plasma","sctype"
"7183","Stromal","Stromal","sctype"
"7184","Stromal","Stromal","sctype"
"7185","Malignant","Malignant","sctype"
"7186","Stromal","Plasma","sctype"
"7187","Stromal","Macrophage","sctype"
"7188","Malignant","Malignant","sctype"
"7189","Plasma","Plasma","sctype"
"7190","T","T","sctype"
"7191","Malignant","Malignant","sctype"
"7192","Malignant","Malignant","sctype"
"7193","Stromal","Stromal","sctype"
"7194","Malignant","Malignant","sctype"
"7195","Malignant","Malignant","sctype"
"7196","Macrophage","Macrophage","sctype"
"7197","Malignant","Malignant","sctype"
"7198","Malignant","Malignant","sctype"
"7199","Malignant","Malignant","sctype"
"7200","Malignant","Malignant","sctype"
"7201","Malignant","Malignant","sctype"
"7202","Stromal","Stromal","sctype"
"7203","Stromal","Stromal","sctype"
"7204","Malignant","Malignant","sctype"
"7205","Stromal","Macrophage","sctype"
"7206","Malignant","T","sctype"
"7207","Malignant","T","sctype"
"7208","Stromal","Stromal","sctype"
"7209","Malignant","Malignant","sctype"
"7210","Malignant","Malignant","sctype"
"7211","Stromal","Stromal","sctype"
"7212","Malignant","Macrophage","sctype"
"7213","T","Macrophage","sctype"
"7214","Malignant","Malignant","sctype"
"7215","Plasma","Plasma","sctype"
"7216","Malignant","Malignant","sctype"
"7217","Malignant","Malignant","sctype"
"7218","T","T","sctype"
"7219","Malignant","Malignant","sctype"
"7220","Macrophage","Macrophage","sctype"
"7221","Malignant","Malignant","sctype"
"7222","Stromal","Macrophage","sctype"
"7223","T","T","sctype"
"7224","T","T","sctype"
"7225","Stromal","Macrophage","sctype"
"7226","Malignant","Malignant","sctype"
"7227","Malignant","Malignant","sctype"
"7228","Malignant","Macrophage","sctype"
"7229","T","T","sctype"
"7230","Malignant","Malignant","sctype"
"7231","Plasma","Plasma","sctype"
"7232","Stromal","Stromal","sctype"
"7233","Malignant","Malignant","sctype"
"7234","Malignant","Malignant","sctype"
"7235","Macrophage","Stromal","sctype"
"7236","Stromal","Macrophage","sctype"
"7237","Malignant","Malignant","sctype"
"7238","Malignant","Malignant","sctype"
"7239","Malignant","Malignant","sctype"
"7240","Malignant","Malignant","sctype"
"7241","Malignant","Malignant","sctype"
"7242","Stromal","Macrophage","sctype"
"7243","Stromal","Macrophage","sctype"
"7244","Malignant","Malignant","sctype"
"7245","T","T","sctype"
"7246","Stromal","Macrophage","sctype"
"7247","Malignant","Malignant","sctype"
"7248","Malignant","Stromal","sctype"
"7249","Macrophage","Plasma","sctype"
"7250","Malignant","Myoepi","sctype"
"7251","Malignant","Malignant","sctype"
"7252","B","T","sctype"
"7253","Malignant","Malignant","sctype"
"7254","T","T","sctype"
"7255","Malignant","Malignant","sctype"
"7256","T","T","sctype"
"7257","Malignant","Malignant","sctype"
"7258","Malignant","Malignant","sctype"
"7259","Malignant","Malignant","sctype"
"7260","Malignant","Macrophage","sctype"
"7261","Stromal","Stromal","sctype"
"7262","T","B","sctype"
"7263","Malignant","Malignant","sctype"
"7264","Malignant","Malignant","sctype"
"7265","Stromal","Stromal","sctype"
"7266","Malignant","Stromal","sctype"
"7267","Malignant","Malignant","sctype"
"7268","Plasma","Plasma","sctype"
"7269","T","T","sctype"
"7270","Malignant","Malignant","sctype"
"7271","T","T","sctype"
"7272","T","T","sctype"
"7273","Malignant","T","sctype"
"7274","Myoepi","Stromal","sctype"
"7275","Myoepi","Myoepi","sctype"
"7276","B","T","sctype"
"7277","Malignant","Myoepi","sctype"
"7278","Malignant","Malignant","sctype"
"7279","Malignant","Malignant","sctype"
"7280","Malignant","Malignant","sctype"
"7281","T","T","sctype"
"7282","Malignant","Malignant","sctype"
"7283","T","T","sctype"
"7284","Malignant","Malignant","sctype"
"7285","Macrophage","T","sctype"
"7286","T","T","sctype"
"7287","Stromal","Stromal","sctype"
"7288","Malignant","Malignant","sctype"
"7289","T","T","sctype"
"7290","Stromal","Plasma","sctype"
"7291","Stromal","Stromal","sctype"
"7292","T","T","sctype"
"7293","T","T","sctype"
"7294","Malignant","Malignant","sctype"
"7295","Macrophage","Stromal","sctype"
"7296","T","B","sctype"
"7297","Malignant","Malignant","sctype"
"7298","Malignant","Malignant","sctype"
"7299","Malignant","Malignant","sctype"
"7300","Stromal","Stromal","sctype"
"7301","Malignant","Malignant","sctype"
"7302","Malignant","Malignant","sctype"
"7303","Malignant","Malignant","sctype"
"7304","Malignant","Macrophage","sctype"
"7305","Malignant","Malignant","sctype"
"7306","Stromal","Stromal","sctype"
"7307","Malignant","Malignant","sctype"
"7308","Malignant","Macrophage","sctype"
"7309","Stromal","Macrophage","sctype"
"7310","Malignant","Malignant","sctype"
"7311","Malignant","Malignant","sctype"
"7312","Malignant","Malignant","sctype"
"7313","Malignant","Malignant","sctype"
"7314","Malignant","Malignant","sctype"
"7315","Malignant","Malignant","sctype"
"7316","Malignant","T","sctype"
"7317","Stromal","Stromal","sctype"
"7318","T","T","sctype"
"7319","Plasma","Plasma","sctype"
"7320","Plasma","Plasma","sctype"
"7321","Malignant","Malignant","sctype"
"7322","Plasma","Stromal","sctype"
"7323","Malignant","Malignant","sctype"
"7324","T","T","sctype"
"7325","Stromal","Stromal","sctype"
"7326","T","Macrophage","sctype"
"7327","Malignant","Malignant","sctype"
"7328","Malignant","Malignant","sctype"
"7329","Stromal","Stromal","sctype"
"7330","Stromal","Stromal","sctype"
"7331","Malignant","Malignant","sctype"
"7332","T","T","sctype"
"7333","Malignant","Malignant","sctype"
"7334","Malignant","Malignant","sctype"
"7335","Malignant","Malignant","sctype"
"7336","Macrophage","Stromal","sctype"
"7337","Malignant","Malignant","sctype"
"7338","Malignant","Malignant","sctype"
"7339","T","T","sctype"
"7340","Malignant","Malignant","sctype"
"7341","Malignant","Malignant","sctype"
"7342","Malignant","Malignant","sctype"
"7343","Stromal","Macrophage","sctype"
"7344","T","Stromal","sctype"
"7345","Malignant","Macrophage","sctype"
"7346","Malignant","Malignant","sctype"
"7347","T","T","sctype"
"7348","Malignant","Malignant","sctype"
"7349","Malignant","Macrophage","sctype"
"7350","Malignant","Malignant","sctype"
"7351","Malignant","Malignant","sctype"
"7352","T","T","sctype"
"7353","Plasma","Stromal","sctype"
"7354","Stromal","T","sctype"
"7355","Malignant","Malignant","sctype"
"7356","Stromal","Stromal","sctype"
"7357","Malignant","Malignant","sctype"
"7358","Stromal","Stromal","sctype"
"7359","Malignant","Malignant","sctype"
"7360","Malignant","Malignant","sctype"
"7361","Malignant","Malignant","sctype"
"7362","Malignant","Malignant","sctype"
"7363","Macrophage","Macrophage","sctype"
"7364","Macrophage","Stromal","sctype"
"7365","Stromal","Stromal","sctype"
"7366","Malignant","Malignant","sctype"
"7367","Stromal","Malignant","sctype"
"7368","Stromal","Stromal","sctype"
"7369","Stromal","Stromal","sctype"
"7370","Malignant","Malignant","sctype"
"7371","Malignant","Malignant","sctype"
"7372","Malignant","Malignant","sctype"
"7373","Malignant","Malignant","sctype"
"7374","Malignant","Myoepi","sctype"
"7375","Malignant","Malignant","sctype"
"7376","Malignant","Malignant","sctype"
"7377","Malignant","Malignant","sctype"
"7378","Stromal","T","sctype"
"7379","Macrophage","Plasma","sctype"
"7380","Malignant","Malignant","sctype"
"7381","Stromal","Stromal","sctype"
"7382","Stromal","Stromal","sctype"
"7383","Plasma","Plasma","sctype"
"7384","Malignant","Macrophage","sctype"
"7385","Malignant","Malignant","sctype"
"7386","Malignant","Malignant","sctype"
"7387","Stromal","Stromal","sctype"
"7388","T","B","sctype"
"7389","Malignant","Malignant","sctype"
"7390","Malignant","Malignant","sctype"
"7391","Malignant","Malignant","sctype"
"7392","Malignant","Malignant","sctype"
"7393","Malignant","Malignant","sctype"
"7394","Malignant","Malignant","sctype"
"7395","Stromal","Malignant","sctype"
"7396","Plasma","Macrophage","sctype"
"7397","Stromal","Macrophage","sctype"
"7398","Malignant","Malignant","sctype"
"7399","T","T","sctype"
"7400","Malignant","Malignant","sctype"
"7401","Malignant","Malignant","sctype"
"7402","T","Macrophage","sctype"
"7403","Malignant","Malignant","sctype"
"7404","Malignant","Malignant","sctype"
"7405","Malignant","Malignant","sctype"
"7406","Malignant","Malignant","sctype"
"7407","Malignant","Malignant","sctype"
"7408","Malignant","Malignant","sctype"
"7409","Macrophage","Macrophage","sctype"
"7410","Stromal","Stromal","sctype"
"7411","Malignant","Malignant","sctype"
"7412","Malignant","Malignant","sctype"
"7413","Stromal","Stromal","sctype"
"7414","Stromal","Stromal","sctype"
"7415","Stromal","Macrophage","sctype"
"7416","Stromal","T","sctype"
"7417","Malignant","Malignant","sctype"
"7418","Malignant","Malignant","sctype"
"7419","Macrophage","Stromal","sctype"
"7420","Malignant","Malignant","sctype"
"7421","Stromal","Stromal","sctype"
"7422","Stromal","T","sctype"
"7423","Macrophage","Plasma","sctype"
"7424","Malignant","Malignant","sctype"
"7425","T","Stromal","sctype"
"7426","Stromal","Stromal","sctype"
"7427","Malignant","Malignant","sctype"
"7428","Malignant","Malignant","sctype"
"7429","Malignant","Malignant","sctype"
"7430","Malignant","Malignant","sctype"
"7431","Malignant","Malignant","sctype"
"7432","T","T","sctype"
"7433","Malignant","Malignant","sctype"
"7434","T","T","sctype"
"7435","Stromal","Macrophage","sctype"
"7436","T","Macrophage","sctype"
"7437","T","T","sctype"
"7438","Stromal","Stromal","sctype"
"7439","Myoepi","Malignant","sctype"
"7440","Malignant","Malignant","sctype"
"7441","Macrophage","Macrophage","sctype"
"7442","T","T","sctype"
"7443","Stromal","Plasma","sctype"
"7444","Macrophage","T","sctype"
"7445","Myoepi","Malignant","sctype"
"7446","Stromal","Stromal","sctype"
"7447","Malignant","Malignant","sctype"
"7448","T","T","sctype"
"7449","Malignant","Malignant","sctype"
"7450","Malignant","Myoepi","sctype"
"7451","Malignant","Malignant","sctype"
"7452","Macrophage","Macrophage","sctype"
"7453","Malignant","Malignant","sctype"
"7454","Malignant","Macrophage","sctype"
"7455","Malignant","Malignant","sctype"
"7456","Malignant","Malignant","sctype"
"7457","Stromal","Stromal","sctype"
"7458","T","T","sctype"
"7459","Macrophage","Macrophage","sctype"
"7460","Malignant","Malignant","sctype"
"7461","Malignant","Malignant","sctype"
"7462","Malignant","Malignant","sctype"
"7463","Stromal","Stromal","sctype"
"7464","Malignant","Macrophage","sctype"
"7465","Malignant","Malignant","sctype"
"7466","Malignant","Malignant","sctype"
"7467","Malignant","Malignant","sctype"
"7468","Stromal","Stromal","sctype"
"7469","Malignant","Malignant","sctype"
"7470","Stromal","Stromal","sctype"
"7471","Malignant","Malignant","sctype"
"7472","Malignant","Malignant","sctype"
"7473","Malignant","Malignant","sctype"
"7474","Malignant","Malignant","sctype"
"7475","Stromal","Stromal","sctype"
"7476","Stromal","Stromal","sctype"
"7477","Malignant","Malignant","sctype"
"7478","Malignant","Malignant","sctype"
"7479","Malignant","Malignant","sctype"
"7480","Stromal","Stromal","sctype"
"7481","Malignant","Malignant","sctype"
"7482","T","Macrophage","sctype"
"7483","Stromal","T","sctype"
"7484","Malignant","Malignant","sctype"
"7485","Macrophage","T","sctype"
"7486","Stromal","Stromal","sctype"
"7487","Malignant","Malignant","sctype"
"7488","Stromal","Macrophage","sctype"
"7489","Malignant","Myoepi","sctype"
"7490","Malignant","Macrophage","sctype"
"7491","Malignant","Malignant","sctype"
"7492","Malignant","Malignant","sctype"
"7493","Malignant","Malignant","sctype"
"7494","Malignant","Malignant","sctype"
"7495","Macrophage","Macrophage","sctype"
"7496","Malignant","Malignant","sctype"
"7497","Stromal","Stromal","sctype"
"7498","Malignant","Malignant","sctype"
"7499","Malignant","Malignant","sctype"
"7500","Malignant","Malignant","sctype"
"7501","T","T","sctype"
"7502","Malignant","Malignant","sctype"
"7503","Malignant","Malignant","sctype"
"7504","Stromal","Stromal","sctype"
"7505","Malignant","Malignant","sctype"
"7506","Malignant","Malignant","sctype"
"7507","Plasma","T","sctype"
"7508","Malignant","Macrophage","sctype"
"7509","Stromal","Macrophage","sctype"
"7510","Malignant","Macrophage","sctype"
"7511","Malignant","Macrophage","sctype"
"7512","Macrophage","Stromal","sctype"
"7513","Malignant","Malignant","sctype"
"7514","Malignant","Malignant","sctype"
"7515","Malignant","Macrophage","sctype"
"7516","T","T","sctype"
"7517","Malignant","Malignant","sctype"
"7518","Stromal","Macrophage","sctype"
"7519","Malignant","Malignant","sctype"
"7520","Stromal","Myoepi","sctype"
"7521","Malignant","Malignant","sctype"
"7522","Plasma","Macrophage","sctype"
"7523","Plasma","Plasma","sctype"
"7524","Malignant","Malignant","sctype"
"7525","Malignant","Malignant","sctype"
"7526","Malignant","Malignant","sctype"
"7527","Macrophage","Stromal","sctype"
"7528","Malignant","Malignant","sctype"
"7529","Malignant","Malignant","sctype"
"7530","Malignant","Malignant","sctype"
"7531","Malignant","Malignant","sctype"
"7532","Malignant","Malignant","sctype"
"7533","Malignant","Malignant","sctype"
"7534","Stromal","T","sctype"
"7535","T","T","sctype"
"7536","Malignant","Malignant","sctype"
"7537","T","T","sctype"
"7538","T","T","sctype"
"7539","Plasma","Plasma","sctype"
"7540","Malignant","Malignant","sctype"
"7541","Malignant","Malignant","sctype"
"7542","Stromal","T","sctype"
"7543","Malignant","Malignant","sctype"
"7544","Malignant","Malignant","sctype"
"7545","Malignant","Malignant","sctype"
"7546","Malignant","Malignant","sctype"
"7547","Malignant","Malignant","sctype"
"7548","Malignant","Macrophage","sctype"
"7549","Malignant","Malignant","sctype"
"7550","Malignant","Macrophage","sctype"
"7551","Malignant","Malignant","sctype"
"7552","Malignant","Malignant","sctype"
"7553","Malignant","Malignant","sctype"
"7554","T","T","sctype"
"7555","T","T","sctype"
"7556","Malignant","Malignant","sctype"
"7557","Malignant","Malignant","sctype"
"7558","Malignant","Malignant","sctype"
"7559","Malignant","Malignant","sctype"
"7560","Malignant","Malignant","sctype"
"7561","Malignant","Malignant","sctype"
"7562","Stromal","Stromal","sctype"
"7563","Malignant","Macrophage","sctype"
"7564","Stromal","Stromal","sctype"
"7565","Malignant","Malignant","sctype"
"7566","Malignant","Malignant","sctype"
"7567","T","T","sctype"
"7568","Malignant","Malignant","sctype"
"7569","Malignant","Malignant","sctype"
"7570","Stromal","Stromal","sctype"
"7571","Malignant","Malignant","sctype"
"7572","Malignant","Malignant","sctype"
"7573","Stromal","Stromal","sctype"
"7574","Stromal","Myoepi","sctype"
"7575","Malignant","Malignant","sctype"
"7576","Malignant","Malignant","sctype"
"7577","Malignant","Macrophage","sctype"
"7578","Malignant","T","sctype"
"7579","Malignant","Malignant","sctype"
"7580","Macrophage","Macrophage","sctype"
"7581","T","Malignant","sctype"
"7582","Stromal","Macrophage","sctype"
"7583","Malignant","Malignant","sctype"
"7584","Malignant","Malignant","sctype"
"7585","Stromal","Macrophage","sctype"
"7586","Malignant","Malignant","sctype"
"7587","Malignant","Malignant","sctype"
"7588","Malignant","Malignant","sctype"
"7589","Malignant","Malignant","sctype"
"7590","Stromal","Stromal","sctype"
"7591","Malignant","Macrophage","sctype"
